¤u¼t¦WºÙ,¤u¼tµn°O½s¸¹,¤u¼t³]¥ß³\¥i®×¸¹,¤u¼t¦a§},¤u¼t¥«Âí¶m§ø¨½,¤u¼t­t³d¤H©m¦W,²Î¤@½s¸¹,¤u¼t²ÕÂ´«¬ºA,¤u¼t³]¥ß®Ö­ã¤é´Á,¤u¼tµn°O®Ö­ã¤é´Á,¤u¼tµn°Oª¬ºA,²£·~Ãþ§O,¥D­n²£«~
ª@¹B¥ú¹q¬ì§Þ¦³­­¤½¥q,7002024,,¹ü¤Æ¿¤¤GªLÂí«á­í¨½¤æ­b¸ô¥|¬q245¸¹1¼Ó,¹ü¤Æ¿¤¤GªLÂí«á­í¨½,¦¿©ú©v,54002693,¦³­­¤½¥q,,1060119,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z¡B259¨ä¥Lª÷ÄÝ»s«~
«O²»¿³·~¦³­­¤½¥q,66006673,,»O¤¤¥«¯Q¤é°Ï¥_¨½¨½¤Ó©ú¸ô67«Ñ26¸¹,»O¤¤¥«¯Q¤é°Ï¥_¨½¨½,ªL¨q¤k,25059409,¦³­­¤½¥q,,1070727,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B254ª÷ÄÝ¥[¤u³B²z
©¯®p²V¾®¤g¦³­­¤½¥q,99649679,8.51E+12,¹ü¤Æ¿¤½u¦è¶m·¾¤º§ø¹üÀØªF¤G¸ô¢°¢µ¸¹,¹ü¤Æ¿¤½u¦è¶m·¾¤º§ø,¥Õ¥É¦p,27467916,¦³­­¤½¥q,850828,870507,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,233¤ôªd¤Î¨ä»s«~
»õ©÷¯uªÅ¬ì§Þ¦³­­¤½¥q¤@¼t,67002261,,»O«n¥«¦w«n°Ï¥¬³U¨½¤u©ú«n¤G¸ô73¸¹,»O«n¥«¦w«n°Ï¥¬³U¨½,¶À«ØµØ,54083674,¦³­­¤½¥q,,1080104,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~,303¨T¨®¹s¥ó
¤j³q¹q¤lªÑ¥÷¦³­­¤½¥q¤G¼t,99681196,,¹ü¤Æ¿¤ªá¾Â¶m¥_¤f§ø¤¤¤s¸ô¤G¬q771¸¹2¡B3¼Ó,¹ü¤Æ¿¤ªá¾Â¶m¥_¤f§ø,¤ý¾G´·,58033900,ªÑ¥÷¦³­­¤½¥q,,990609,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~¡B27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,269¨ä¥L¹q¤l¹s²Õ¥ó¡B271¹q¸£¤Î¨ä¶gÃä³]³Æ¡B272³q°T¶Ç¼½³]³Æ¡B273µøÅ¥¹q¤l²£«~
¸U¬w³q°ê»Ú¥ø·~ªÑ¥÷¦³­­¤½¥q,67002868,,»O«n¥«·sÀç°Ï¹ÅªÚ¨½¤­ºÖ¸ô106¸¹,»O«n¥«·sÀç°Ï¹ÅªÚ¨½,¤ý«É³Ç,53558292,ªÑ¥÷¦³­­¤½¥q,,1091126,¥Í²£¤¤,11¯¼Â´·~¡B33¨ä¥L»s³y·~,115¯¼Â´«~¡B332ÂåÀø¾¹§÷¤Î¥Î«~
ª@À·¥ø·~ªÀ,S0701060,,¹ü¤Æ¿¤¹ü¤Æ¥«°ê¸t¨½°ê¸t¸ô175«Ñ121§Ë61¸¹,¹ü¤Æ¿¤¹ü¤Æ¥«°ê¸t¨½,§dºÑº¡,80819496,¿W¸ê,,1090728,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¤SÄR¹ê·~¦³­­¤½¥q¤@¼t,99625878,8.61E+12,®ç¶é¥«¤¤Ãc°Ï¹LÀ­¨½ ¥Á±Ú¸ô¤»¬q250«Ñ6¸¹1¼Ó,®ç¶é¥«¤¤Ãc°Ï¹LÀ­¨½,±iªZ­¦¡@¡@¡@,89505691,¦³­­¤½¥q,860710,860816,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
ö^Üg¿Sª÷¯S®í¦L¨ê¦³­­¤½¥q,66007629,,»O¤¤¥«¯«©£°Ï¥_ÉÜ¨½¤¤¤s¸ô1020¸¹1¼Ó,»O¤¤¥«¯«©£°Ï¥_ÉÜ¨½,³¯©ú¹l,54750423,¦³­­¤½¥q,,1080724,¥Í²£¤¤,15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~,152¥Ë·«¯ÈªO¤Î¯È®e¾¹
¨Ê¹F¤uµ{¦³­­¤½¥q,66007960,,»O¤¤¥«¤j¨{°Ï¤¤©M¨½¿³©M¸ô55¸¹,»O¤¤¥«¤j¨{°Ï¤¤©M¨½,©P¥Ã½å,53131332,¦³­­¤½¥q,,1081213,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¸Î²£¤Æ¤uªÑ¥÷¦³­­¤½¥q,99620838,5.81E+12,©yÄõ¿¤Ä¬¿DÂí¸t´ò¨½¤¤¤s¸ô¤G¬q162«Ñ38¸¹,©yÄõ¿¤Ä¬¿DÂí¸t´ò¨½,¤è¬Ù¤T,41777737,ªÑ¥÷¦³­­¤½¥q,580101,581201,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,239¨ä¥L«Dª÷ÄÝÄqª«»s«~
¤Ó­³ªÑ¥÷¦³­­¤½¥q,99644808,,»O¤¤¥«¤j¶®°Ï¤j·¬¨½©÷¥­¸ô¥|¬q301¸¹,»O¤¤¥«¤j¶®°Ï¤j·¬¨½,ÁÂ½çºÖ,89896959,ªÑ¥÷¦³­­¤½¥q,,920328,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~,220¶ì½¦»s«~¡B269¨ä¥L¹q¤l¹s²Õ¥ó
øÊ¶h¹ê·~¦³­­¤½¥q,99625406,7.41E+12,®ç¶é¥«¥­Âí°Ï¥­Âí¨½¥­¼w¸ô¤G¤»¤E¸¹,®ç¶é¥«¥­Âí°Ï¥­Âí¨½,³¢Â×¿K¡@¡@¡@,45013310,¦³­­¤½¥q,741220,750110,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
¿²´Ë¥ø·~¦³­­¤½¥q¤u¼t,99649815,8.51001E+12,¹ü¤Æ¿¤ºÖ¿³¶m¥~¤¤§øµfªá¸ô¢°¬q¢·¢·¢°¤§¢°¸¹,¹ü¤Æ¿¤ºÖ¿³¶m¥~¤¤§ø,¨ô²Q®S¡@,96879499,¦³­­¤½¥q,850822,860612,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
»·¥©ªÑ¥÷¦³­­¤½¥q¤¤Ãc¼t,68002196,,®ç¶é¥«¤¤Ãc°Ï¤sªF¨½¤sªF¸ô201-1¸¹,®ç¶é¥«¤¤Ãc°Ï¤sªF¨½,§õºû­Û,22861755,ªÑ¥÷¦³­­¤½¥q,,1071001,¥Í²£¤¤,19¨ä¥L¤Æ¾Ç»s«~»s³y·~,199¥¼¤ÀÃþ¨ä¥L¤Æ¾Ç»s«~
¥x¤¤ºë¾÷¼tªÑ¥÷¦³­­¤½¥q,99670361,6.11E+12,»O¤¤¥«¦è¤Ù°ÏºÖÁp¨½»OÆW¤j¹D¥|¬q2088¸¹,»O¤¤¥«¦è¤Ù°ÏºÖÁp¨½,¶À©ú©M,51817603,ªÑ¥÷¦³­­¤½¥q,610816,620920,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B293³q¥Î¾÷±ñ³]³Æ¡B319¥¼¤ÀÃþ¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó
«aÀs¹ê·~ªÑ¥÷¦³­­¤½¥q,99659327,6.81E+12,»O«n¥«¥Ã±d°ÏªF¾ô¨½¦Û±j¸ô123«Ñ1¸¹,»O«n¥«¥Ã±d°ÏªF¾ô¨½,½²«n¿³¡@¡@¡@,73662131,ªÑ¥÷¦³­­¤½¥q,680607,690602,¥Í²£¤¤,33¨ä¥L»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,339¥¼¤ÀÃþ¨ä¥L»s«~¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ
¤j³°¥ú¾Ç²´ÃèÄÁ¿ö¦³­­¤½¥q¤¤©M¼t,99616028,8.91E+12,·s¥_¥«¤¤©M°Ï¥­ªe¨½«Ø¤K¸ô¤@¤»¸¹¤C¼Ó¤§¤T,·s¥_¥«¤¤©M°Ï¥­ªe¨½,³¯¨Î¶i,22945951,¦³­­¤½¥q,890726,890913,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~¡B33¨ä¥L»s³y·~,273µøÅ¥¹q¤l²£«~¡B277¥ú¾Ç»ö¾¹¤Î³]³Æ¡B332ÂåÀø¾¹§÷¤Î¥Î«~
©E¨ý°a¹ê·~¦³­­¤½¥q,65005474,,·s¥_¥«·s²ø°Ï¤¤«H¨½¤¤«Hµó51«Ñ4§Ë12¸¹(1¼Ó),·s¥_¥«·s²ø°Ï¤¤«H¨½,ªLª÷Às,34419285,¦³­­¤½¥q,,1051125,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
¯ú¸W¥ø·~¦³­­¤½¥q³Á¼d¼t,9000885,1.081E+13,¶³ªL¿¤³Á¼d¶m¾ôÀY§ø¤¯¼w¸ô173«Ñ49¸¹1¼Ó,¶³ªL¿¤³Á¼d¶m¾ôÀY§ø,¥j®¶©÷,27615043,¦³­­¤½¥q,1080604,1080702,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¥xÆW³q¥Î¿i§{ªÑ¥÷¦³­­¤½¥q,65002607,,·s¥_¥«¤g«°°Ï¨K«@¨½¤¤¤s¸ô12¸¹1¼Ó¡B2¼Ó¡B3¼Ó¡B4¼Ó,·s¥_¥«¤g«°°Ï¨K«@¨½,¤ý³Í¥°,86384960,ªÑ¥÷¦³­­¤½¥q,,1021108,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
«íÄR¬ì§ÞªÑ¥÷¦³­­¤½¥q,99680300,,¹ü¤Æ¿¤½u¦è¶m¶ó¥J§ø¹üÀØªF¤@¸ô¢°¤§¢µ¸¹,¹ü¤Æ¿¤½u¦è¶m¶ó¥J§ø,»¯©ú½å,16370746,ªÑ¥÷¦³­­¤½¥q,,960202,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
°ª¦X¤u·~¦³­­¤½¥q,99635969,8.21001E+12,»O¤¤¥«¤Ó¥­°Ï¤Ó¥­¨½¥ÃÂ×¸ô131«Ñ7¸¹,»O¤¤¥«¤Ó¥­°Ï¤Ó¥­¨½,¦ó¤ë´f,79950932,¦³­­¤½¥q,820227,820318,¥Í²£¤¤,24°ò¥»ª÷ÄÝ»s³y·~,241¿ûÅK¡B249¨ä¥L°ò¥»ª÷ÄÝ
ÓT·ç¬ì§Þ¹ê·~¦³­­¤½¥q¤u¼t,66007187,,»O¤¤¥«¦Z¨½°Ï®õ¦w¨½ºÖ¿³¸ô3-1¸¹,»O¤¤¥«¦Z¨½°Ï®õ¦w¨½,¶À¨Î¶§,27604019,¦³­­¤½¥q,,1080128,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¥ú¦X°T¬ì§ÞªÑ¥÷¦³­­¤½¥q­û¤s¼t,65010636,,·s¥_¥«¤¤©M°Ï­û¤s¨½­û¤s¸ô506¤§1¸¹5¼Ó,·s¥_¥«¤¤©M°Ï­û¤s¨½,³¢¸U¯q,70443990,ªÑ¥÷¦³­­¤½¥q,,1110908,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~¡B28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,272³q°T¶Ç¼½³]³Æ¡B275¶q´ú¡B¾É¯è¡B±±¨î³]³Æ¤ÎÄÁ¿ö¡B283¹q½u¤Î°t½u¾¹§÷
©ýµa¬ì§ÞªÑ¥÷¦³­­¤½¥q,3001771,,®ç¶é¥«·¨±ö°Ï­û¥»¨½¥Á¶©¸ô26¸¹,®ç¶é¥«·¨±ö°Ï­û¥»¨½,±i·ç±j,70354764,ªÑ¥÷¦³­­¤½¥q,,1020717,¥Í²£¤¤,33¨ä¥L»s³y·~¡B22¶ì½¦»s«~»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~¡B220¶ì½¦»s«~
«ØÑLÀç³y¦³­­¤½¥q,66007677,,»O¤¤¥«¥_¤Ù°ÏªF¥ú¨½¥_¤Ù¸ô298«Ñ26§Ë14¸¹,»O¤¤¥«¥_¤Ù°ÏªF¥ú¨½,¶À«T¿o,86982430,¦³­­¤½¥q,,1080816,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
¥ÃÂ×¯È·~ªÑ¥÷¦³­­¤½¥q·s©±¼t,99601155,6.51E+12,·s¥_¥«·s©±°ÏÄ_¿³¨½Ä_¤¤¸ô96¸¹,·s¥_¥«·s©±°ÏÄ_¿³¨½,´å®¶©÷,38019423,ªÑ¥÷¦³­­¤½¥q,650403,650521,¥Í²£¤¤,15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~,151¯È¼ß¡B¯È¡B¯ÈªO¡B159¨ä¥L¯È»s«~
¤W·z¥ú¾ÇªÑ¥÷¦³­­¤½¥q,68002887,,®ç¶é¥«®ç¶é°Ï¨X¬w¨½22¾F¸g°ê¸ô888¸¹15¤§1¼Ó,®ç¶é¥«®ç¶é°Ï¨X¬w¨½,§dª@º«,53490527,ªÑ¥÷¦³­­¤½¥q,,1080815,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,277¥ú¾Ç»ö¾¹¤Î³]³Æ
ïú»È°ê»Ú¦³­­¤½¥q,65009244,,·s¥_¥«¾ðªL°Ï¦`¥Í¨½¤TÀsµó204¸¹1¼Ó,·s¥_¥«¾ðªL°Ï¦`¥Í¨½,¬x°¶¶v,83263513,¦³­­¤½¥q,,1100303,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó
´º·Ô¹ê·~¦³­­¤½¥q¤u¼t,99678484,8.51001E+12,¹ü¤Æ¿¤¥Ð¤¤Âí¤T¥Á¨½¤æ¤¤¸ô¢±¬q¢³¢·¢³«Ñ¢µ¢´¸¹,¹ü¤Æ¿¤¥Ð¤¤Âí¤T¥Á¨½,³¯´º¥ú¡@,23105364,¦³­­¤½¥q,850906,850925,¥Í²£¤¤,12¦¨¦ç¤ÎªA¹¢«~»s³y·~,123ªA¹¢«~
¥ß¤s¾÷±ñ¤u¼tªÑ¥÷¦³­­¤½¥q,99620176,5.81E+12,©yÄõ¿¤Ä¬¿DÂíÀs¼w¨½¦Û±j¸ô¤C¸¹,©yÄõ¿¤Ä¬¿DÂíÀs¼w¨½,³¯·s·½¡@¡@¡@,40579674,ªÑ¥÷¦³­­¤½¥q,580101,700305,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
·ç­Û¨T¨®¥ø·~ªÀ,99705948,,»O«n¥««n°Ï¤j©¾¨½¤j¦P¸ô2¬q508¸¹,»O«n¥««n°Ï¤j©¾¨½,§f©ú·Ë,78976890,¿W¸ê,,970707,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~,303¨T¨®¹s¥ó
©M°aªÑ¥÷¦³­­¤½¥q¤@¼t,99717947,,®ç¶é¥«¥­Âí°Ï¥­«n¨½¤¤Â×¸ô«n¶Õ¤G¬q460«Ñ116¤§6¸¹(1¡B3¼Ó),®ç¶é¥«¥­Âí°Ï¥­«n¨½,¶À¤@°a,23546828,ªÑ¥÷¦³­­¤½¥q,,981214,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¶i¿³¹A¨ãªÑ¥÷¦³­­¤½¥q,99643646,7.51001E+12,»O¤¤¥«¤j¨½°Ï¤j¤¸¨½¤j½Ã¸ô22¸¹,»O¤¤¥«¤j¨½°Ï¤j¤¸¨½,¹ù?µo,22309782,ªÑ¥÷¦³­­¤½¥q,751209,771201,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
¥@ºö¥ø·~¦³­­¤½¥q¥x«n¼t,67001527,,»O«n¥«¦w«n°Ï¶ý¯ª®c¨½¬ì§Þ¤T¸ô98¸¹,»O«n¥«¦w«n°Ï¶ý¯ª®c¨½,­ðºa¿A,69525895,¦³­­¤½¥q,,1050615,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
¬ü¾í¬ì§Þ¦³­­¤½¥q,68003288,,®ç¶é¥«¥­Âí°Ï¥­«n¨½¤¤Â×¸ô«n¶Õ¤G¬q460«Ñ121¸¹,®ç¶é¥«¥­Âí°Ï¥­«n¨½,±iº·®S,53493720,¦³­­¤½¥q,,1090323,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ¡B293³q¥Î¾÷±ñ³]³Æ
¬X¶m¹ê·~¦³­­¤½¥q,99641636,7.71E+12,»O¤¤¥«²M¤ô°Ï¨q¤ô¨½¤½¥¿¸ô¤Q¤»«Ñ¤T¤C¸¹,»O¤¤¥«²M¤ô°Ï¨q¤ô¨½,µ£½²»A¬õ,22695980,¦³­­¤½¥q,770418,770418,¥Í²£¤¤,12¦¨¦ç¤ÎªA¹¢«~»s³y·~,121¦¨¦ç
©~ºÏ¤u·~ªÑ¥÷¦³­­¤½¥q,99702503,,°ò¶©¥«¦w¼Ö°Ï¤º¼d¨½ªZ°Vµó98¸¹¤@¼Ó,°ò¶©¥«¦w¼Ö°Ï¤º¼d¨½,¨H¾Çºa,96925228,ªÑ¥÷¦³­­¤½¥q,,931126,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~¡B24°ò¥»ª÷ÄÝ»s³y·~,262³Q°Ê¹q¤l¤¸¥ó¡B241¿ûÅK¡B249¨ä¥L°ò¥»ª÷ÄÝ
ÚâÀ·¶ì½¦ªÑ¥÷¦³­­¤½¥q,99718820,,·s¥_¥«²H¤ô°Ï°ñ®q¨½¦æ©¾¸ô78¸¹,·s¥_¥«²H¤ô°Ï°ñ®q¨½,¶À¸t´Ë,23847520,ªÑ¥÷¦³­­¤½¥q,,971104,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¸Sóf¥ø·~¦³­­¤½¥q,99704993,,°ª¶¯¥«³¾ªQ°Ï¤¯¬ü¨½¬ü¤s¸ô¢³¢±¸¹,°ª¶¯¥«³¾ªQ°Ï¤¯¬ü¨½,½²¤å¾W,89748297,¦³­­¤½¥q,,950515,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,293³q¥Î¾÷±ñ³]³Æ¡B275¶q´ú¡B¾É¯è¡B±±¨î³]³Æ¤ÎÄÁ¿ö¡B277¥ú¾Ç»ö¾¹¤Î³]³Æ
¦P»¨¬ì§ÞªÑ¥÷¦³­­¤½¥q,64008827,,°ª¶¯¥«©£¤s°ÏÆW¸Ì¨½©£¤s¥_¸ô2«Ñ29¸¹,°ª¶¯¥«©£¤s°ÏÆW¸Ì¨½,³\¾Ë¦P,59144806,ªÑ¥÷¦³­­¤½¥q,,1091130,¥Í²£¤¤,19¨ä¥L¤Æ¾Ç»s«~»s³y·~,193²M¼ä¥Î«~¤Î¤ÆùÛ«~¡B199¥¼¤ÀÃþ¨ä¥L¤Æ¾Ç»s«~
¿ü¾Ë¥ø·~ªÀ,7003435,,¹ü¤Æ¿¤³À´äÂí¤s±[¨½¤s¼d«Ñ63¸¹,¹ü¤Æ¿¤³À´äÂí¤s±[¨½,¿½¹Å·½,82582412,¿W¸ê,,1081107,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
Ã­¦n°ª¤À¤l¤Æ¾Ç¤u·~ªÑ¥÷¦³­­¤½¥q ¥ú´_¥_¸ô¼t,4000435,,·s¦Ë¿¤´ò¤f¶m³Ó§Q§ø¥ú´_¥_¸ô80¸¹,·s¦Ë¿¤´ò¤f¶m³Ó§Q§ø,´^º~¶³,22363292,ªÑ¥÷¦³­­¤½¥q,,1040807,¥Í²£¤¤,19¨ä¥L¤Æ¾Ç»s«~»s³y·~,199¥¼¤ÀÃþ¨ä¥L¤Æ¾Ç»s«~
¦°®i¤uµ{¦æ,S6400058,,°ª¶¯¥«ªü½¬°Ï¤¤¸ô¨½¤¤¸ô151-6¸¹,°ª¶¯¥«ªü½¬°Ï¤¤¸ô¨½,°ª«Ø°¶,13899029,¦X¹Ù,,1090608,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
ªY²±¥ø·~ªÑ¥÷¦³­­¤½¥qªD¼d¼t,13000485,1.061E+13,«ÌªF¿¤ªD¼d¶m¤¤¤s¸ô366¸¹,«ÌªF¿¤ªD¼d¶m,·¨¸g¥ý,24682602,ªÑ¥÷¦³­­¤½¥q,1060504,1070514,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~¡B23«Dª÷ÄÝÄqª«»s«~»s³y·~,233¤ôªd¤Î¨ä»s«~¡B239¨ä¥L«Dª÷ÄÝÄqª«»s«~
Às¦¨¬Á¼þ¦³­­¤½¥q,65003842,,·s¥_¥«¤T­«°Ï¤¤¿³¨½­«·s¸ô5¬q625¸¹1¼Ó,·s¥_¥«¤T­«°Ï¤¤¿³¨½,³s¤ÑÀs,70683436,¦³­­¤½¥q,,1040213,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,231¬Á¼þ¤Î¨ä»s«~¡B252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
Ä_»Öºë±K¤u·~ªÑ¥÷¦³­­¤½¥q,S6500298,,·s¥_¥«¤T®l°Ï¥°¹D¨½³Â¶é15¸¹¤§1,·s¥_¥«¤T®l°Ï¥°¹D¨½,Áé²Mª÷,12974246,ªÑ¥÷¦³­­¤½¥q,,1090602,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
°ê¬w¥Û§÷¥ø·~ªÑ¥÷¦³­­¤½¥q,99666630,,ªá½¬¿¤ªá½¬¥«¥Á¤ß¨½¬ü¤u¤­µó¢³¸¹,ªá½¬¿¤ªá½¬¥«¥Á¤ß¨½,³¯´Â®ü,23105414,ªÑ¥÷¦³­­¤½¥q,,790117,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,234¥Û§÷»s«~
¼ä«G¹ê·~¦³­­¤½¥q,99709646,,»O«n¥«¥Ã±d°ÏªF¾ô¨½¦Û±j¸ô140«Ñ18¸¹,»O«n¥«¥Ã±d°ÏªF¾ô¨½,§õ¤Ö·O,27887760,¦³­­¤½¥q,,951030,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¤È´Ü¥ø·~¦³­­¤½¥q,99695949,,·s¥_¥«¤g«°°Ï¤j¦w¨½¤¤¥¡¸ô¤T¬q¤C¤»«Ñ¤­¢¯§Ë¤E¸¹,·s¥_¥«¤g«°°Ï¤j¦w¨½,³s¤lÓ},89653685,¦³­­¤½¥q,,950921,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B262³Q°Ê¹q¤l¤¸¥ó
ª÷Ä_¥ø·~ªÑ¥÷¦³­­¤½¥q,7002825,,¹ü¤Æ¿¤½u¦è¶m½u¦è§ø½u¦w¸ô96¸¹,¹ü¤Æ¿¤½u¦è¶m½u¦è§ø,§d«Ø¥@,54548940,ªÑ¥÷¦³­­¤½¥q,,1071022,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,239¨ä¥L«Dª÷ÄÝÄqª«»s«~¡B231¬Á¼þ¤Î¨ä»s«~
ÃL¾l¹ê·~ªÑ¥÷¦³­­¤½¥q,63021850,,»O¥_¥«¤º´ò°Ï¦è±d¨½¤å´òµó¤»¤Q«Ñ¤G¤Q¤K¸¹,»O¥_¥«¤º´ò°Ï¦è±d¨½,Â²©y¯u,16852172,ªÑ¥÷¦³­­¤½¥q,,930129,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
§»Âïª÷ÄÝ¤uµ{¦æ,65007258,,·s¥_¥«¦Á¤î°Ï«n¶§µó121«Ñ11¸¹1¼Ó,·s¥_¥«¦Á¤î°Ï,¤ý§Ó§»,26737455,¿W¸ê,,1071011,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
Áp¥î¿³·~¦³­­¤½¥q,99688856,,®ç¶é¥«Às¼æ°Ï¯QªL¨½¤u¤­¸ô¢°¢¸¢±«Ñ¢°¸¹,®ç¶é¥«Às¼æ°Ï¯QªL¨½,³¯ºÖ®ð,28065361,¦³­­¤½¥q,,950302,¥Í²£¤¤,19¨ä¥L¤Æ¾Ç»s«~»s³y·~,193²M¼ä¥Î«~¤Î¤ÆùÛ«~
¤j¶H¤u·~ªÑ¥÷¦³­­¤½¥q,99636547,6.31001E+12,»O¤¤¥«¨F³À°Ï¤æ©è¨½¤æ¼æ¸ô82¸¹,»O¤¤¥«¨F³À°Ï¤æ©è¨½,±i§ÓªQ,55707711,ªÑ¥÷¦³­­¤½¥q,741012,741012,¥Í²£¤¤,21¾ó½¦»s«~»s³y·~,210¾ó½¦»s«~
